0,add,node1
0,add,node2
0,add,node3
0,add,node4
0,add,node5
0,add,node6
0,add,node7
0,add,node8
0,add,node9
0,add,node10
0,add,node11
0,add,node12
0,add,node13
0,add,node14
0,add,node15
0,add,node16
0,add,node17
0,add,node18
0,add,node19
0,add,node20
1560000,remove,node15
1560000,remove,node6
1680000,remove,node1
1740000,add,node21
1800000,add,node22
1800000,add,node23
2640000,remove,node22
3000000,remove,node19
3000000,remove,node11
3000000,remove,node8
3960000,remove,node4
4260000,remove,node16
4260000,remove,node5
7140000,remove,node14
7200000,remove,node2
7200000,remove,node7
7380000,add,node24
7440000,add,node25
7560000,add,node26
7620000,add,node27
8880000,remove,node25
9060000,add,node28
9120000,add,node29
9480000,remove,node29
9840000,remove,node24
9960000,add,node30
11520000,remove,node9
11520000,remove,node27
11640000,remove,node10
11640000,remove,node30
11760000,remove,node20
11760000,remove,node21
12120000,add,node31
12120000,add,node32
12360000,add,node33
12600000,add,node34
12720000,add,node35
12840000,add,node36
12960000,add,node37
12960000,add,node38
13320000,remove,node37
13500000,add,node39
13920000,remove,node39
13920000,remove,node35
14100000,add,node40
14100000,add,node41
14100000,add,node42
14100000,add,node43
14340000,add,node44
14340000,add,node45
14760000,remove,node44
15360000,add,node46
15840000,remove,node34
15840000,remove,node41
15840000,remove,node46
15900000,add,node47
17520000,remove,node18
18600000,remove,node28
18600000,remove,node43
18780000,add,node48
19440000,remove,node38
19440000,remove,node47
19560000,remove,node31
19920000,add,node49
20160000,add,node50
20220000,add,node51
20220000,add,node52
20220000,add,node53
21600000,remove,node42
21720000,add,node54
21780000,add,node55
21840000,remove,node55
22680000,remove,node52
22860000,add,node56
23700000,remove,node54
24000000,add,node57
24240000,add,node58
24360000,add,node59
24780000,remove,node51
25260000,add,node60
27900000,remove,node57
29100000,remove,node60
29280000,add,node61
29940000,add,node62
30180000,remove,node58
30300000,add,node63
32940000,remove,node50
33180000,remove,node63
33420000,add,node64
33900000,remove,node48
34140000,add,node65
34260000,add,node66
34980000,remove,node45
34980000,remove,node59
35040000,add,node67
36420000,remove,node65
36600000,remove,node61
36720000,add,node68
36960000,add,node69
37260000,remove,node36
37260000,remove,node49
37560000,remove,node40
38520000,remove,node62
38520000,remove,node67
38520000,remove,node68
38640000,remove,node33
38640000,remove,node32
38760000,remove,node66
